Ax,Ay,Az,Gx,Gy,Gz,fL,fR
-0.9520263671875,0.12255859375,0.2548828125,1.0986328125,-3.2958984375,-1.40380859375,-18,-20
-0.9521484375,0.1209716796875,0.246337890625,1.3427734375,-3.72314453125,-0.9765625,-17,-20
-0.9541015625,0.1246337890625,0.2493896484375,-1.5869140625,-9.3994140625,-2.25830078125,-18,-20
-0.9376220703125,0.1160888671875,0.28759765625,-5.18798828125,-10.80322265625,-3.11279296875,-16,-20
-0.9290771484375,0.099609375,0.3282470703125,4.21142578125,-3.72314453125,-3.2958984375,-17,-21
-0.9259033203125,0.11083984375,0.31640625,0.79345703125,-3.7841796875,-4.39453125,-17,-18
-0.9219970703125,0.11328125,0.322509765625,2.25830078125,-1.52587890625,-1.15966796875,-15,-20
-0.9495849609375,0.0968017578125,0.3043212890625,4.150390625,-6.04248046875,-4.39453125,-17,-19
-0.92724609375,0.11474609375,0.3228759765625,-0.732421875,-5.06591796875,-0.42724609375,-18,-19
-0.9256591796875,0.0963134765625,0.3345947265625,-2.13623046875,-7.32421875,-1.46484375,-17,-19
-0.9190673828125,0.1004638671875,0.357666015625,-2.197265625,-8.23974609375,-3.84521484375,-17,-19
-0.91796875,0.071533203125,0.3900146484375,0.48828125,-9.94873046875,-3.41796875,-15,-18
-0.896240234375,0.062744140625,0.41943359375,0.732421875,-5.4931640625,-1.220703125,-15,-17
-0.8974609375,0.0687255859375,0.439208984375,0,-4.2724609375,-0.18310546875,-18,-18
-0.88427734375,0.0699462890625,0.415771484375,-1.28173828125,-6.8359375,-0.732421875,-18,-19
-0.8790283203125,0.0955810546875,0.44873046875,0.9765625,-1.0986328125,1.220703125,-22,-19
-0.905517578125,0.1173095703125,0.404296875,5.31005859375,-4.0283203125,-0.54931640625,-17,-18
-0.9246826171875,0.1246337890625,0.3944091796875,0,-6.04248046875,-1.40380859375,-17,-19
-0.8270263671875,0.11865234375,0.3890380859375,0.6103515625,-3.173828125,-1.0986328125,-15,-19
-0.9044189453125,0.1177978515625,0.390869140625,1.40380859375,-4.150390625,-1.8310546875,-16,-19
-0.90625,0.115966796875,0.3963623046875,0.1220703125,-3.35693359375,-0.732421875,-17,-17
-0.9019775390625,0.1055908203125,0.39208984375,1.0986328125,-3.47900390625,-1.220703125,-16,-18
